time,p1,p2,p3,p4,p5,termite,ax,ay,az,rx,ry,rz,roll,pitch,yaw,q1,q2,q3,q4,calibration,temperature,humidity,pressure,flag_rm,lat,lacoord,lon,locoord,capacitive,o_lat,o_lon,used_lat,used_lon,altitude,flag_lm
0.0,28.0,31.0,98.0,125.0,67.0,nan,-0.52,-7.95,1.16,7.89,-81.87,45.64,-3.58,0.16,-1.06,-0.33,0.21,-0.62,0.68,1.0,28.21,26.31,0.0747183,0.0,19.25606217391304,nan,-99.59845282258063,nan,0.0,0.0,9935.9072,1.0,1.0,2606.7,0.0
23.0,17.0,18.0,67.0,138.0,103.0,nan,-0.32,-8.16,1.34,7.82,-81.89,45.64,-1.55,-0.19,-0.78,-0.33,0.21,-0.62,0.68,1.0,28.21,26.31,0.0747183,0.0,19.25606217391304,nan,-99.59845282258063,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
42.0,31.0,31.0,56.0,134.0,111.0,nan,-0.31,-8.05,1.22,7.75,-81.95,45.64,-3.16,-0.05,-0.43,-0.33,0.21,-0.62,0.68,1.0,28.21,26.31,0.0747183,0.0,19.25606217391304,nan,-99.59845282258063,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
65.0,31.0,31.0,135.0,155.0,105.0,nan,-0.06,-7.83,1.1,7.67,-82.01,45.64,-3.09,-0.05,-0.29,-0.33,0.21,-0.62,0.68,1.0,28.21,26.31,0.0747183,0.0,19.25606217391304,nan,-99.59845282258063,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
85.0,31.0,30.0,87.0,138.0,75.0,nan,0.08,-7.9,1.03,7.58,-82.04,45.64,-1.34,-0.12,-0.5,-0.33,0.21,-0.62,0.68,1.0,28.21,26.31,0.0747183,0.0,19.25606217391304,nan,-99.59845282258063,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
107.0,17.0,30.0,66.0,154.0,103.0,nan,0.19,-7.8,1.02,7.48,-82.12,45.64,-3.86,0.23,-0.5,-0.33,0.21,-0.62,0.68,1.0,28.21,26.31,0.0747183,0.0,19.25606217391304,nan,-99.59845282258063,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
127.0,26.0,30.0,68.0,138.0,125.0,nan,0.45,-7.9,1.05,7.37,-82.14,45.63,-0.43,0.02,-0.43,-0.33,0.21,-0.62,0.68,1.0,28.21,26.31,0.0747183,0.0,19.25606217391304,nan,-99.59845282258063,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
149.0,22.0,31.0,108.0,153.0,110.0,nan,-0.15,-7.75,1.05,7.24,-82.06,45.63,2.72,0.02,-0.15,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25606217391304,nan,-99.59845282258063,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
182.0,26.0,30.0,67.0,138.0,82.0,nan,-0.73,-7.85,1.11,7.22,-82.0,45.63,3.21,-0.05,0.13,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25606217391304,nan,-99.59845282258063,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
201.0,27.0,30.0,78.0,155.0,125.0,nan,-0.87,-7.8,1.13,7.22,-81.93,45.64,3.14,-0.12,0.34,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25606217391304,nan,-99.59845282258063,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
224.0,27.0,30.0,77.0,136.0,111.0,nan,-1.11,-7.86,1.14,7.23,-81.84,45.64,4.68,-0.33,-0.08,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.256059347826085,nan,-99.59845231182796,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
244.0,26.0,30.0,107.0,136.0,110.0,nan,-1.16,-7.93,1.35,7.23,-81.79,45.65,1.74,-0.05,-0.22,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.256059347826085,nan,-99.59845231182796,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
266.0,26.0,30.0,77.0,139.0,104.0,nan,-1.17,-7.83,1.25,7.24,-81.79,45.64,-0.64,0.23,-0.15,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.256059347826085,nan,-99.59845231182796,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
286.0,28.0,31.0,119.0,154.0,118.0,nan,-1.07,-7.98,1.28,7.24,-81.79,45.64,-0.64,-0.05,-0.22,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.256059347826085,nan,-99.59845231182796,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
309.0,38.0,30.0,99.0,135.0,76.0,nan,-0.79,-8.02,1.35,7.21,-81.83,45.64,-2.25,0.09,-0.71,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.256059347826085,nan,-99.59845231182796,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
329.0,18.0,30.0,108.0,130.0,103.0,nan,-0.56,-7.84,1.09,7.16,-81.91,45.64,-4.21,0.23,-0.78,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.256059347826085,nan,-99.59845231182796,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
351.0,26.0,30.0,77.0,156.0,110.0,nan,-0.32,-8.07,1.11,7.05,-81.99,45.63,-2.18,0.09,-0.29,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.256059347826085,nan,-99.59845231182796,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
378.0,19.0,31.0,52.0,125.0,75.0,nan,-0.06,-7.83,1.09,6.98,-81.99,45.63,-0.29,0.09,-0.43,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.256059347826085,nan,-99.59845231182796,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
401.0,17.0,31.0,67.0,138.0,101.0,nan,-0.16,-7.94,1.22,6.92,-81.96,45.63,1.25,-0.19,-0.08,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.256059347826085,nan,-99.59845231182796,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
421.0,31.0,18.0,157.0,145.0,109.0,nan,-0.15,-7.77,1.17,6.86,-81.97,45.63,-0.64,0.16,-0.01,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.256059347826085,nan,-99.59845231182796,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
443.0,28.0,30.0,93.0,137.0,110.0,nan,-0.43,-7.8,1.07,6.83,-81.94,45.63,1.67,0.02,0.13,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25605652173913,nan,-99.59845180107526,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
462.0,30.0,17.0,77.0,154.0,111.0,nan,-0.58,-7.97,1.26,6.8,-81.9,45.63,1.39,-0.05,-0.08,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25605652173913,nan,-99.59845180107526,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
485.0,30.0,30.0,67.0,139.0,103.0,nan,-0.74,-7.73,0.97,6.78,-81.93,45.62,-0.99,0.37,-0.22,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25605652173913,nan,-99.59845180107526,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
506.0,16.0,30.0,87.0,137.0,76.0,nan,-0.75,-7.83,1.11,6.77,-81.89,45.62,2.02,0.02,0.2,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25605652173913,nan,-99.59845180107526,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
527.0,31.0,26.0,99.0,132.0,103.0,nan,-0.99,-7.96,1.22,6.77,-81.84,45.63,2.02,-0.19,-0.01,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25605652173913,nan,-99.59845180107526,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
547.0,27.0,30.0,82.0,156.0,110.0,nan,-0.79,-7.73,1.12,6.75,-81.86,45.62,-0.78,0.09,-0.5,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25605652173913,nan,-99.59845180107526,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
570.0,29.0,17.0,136.0,140.0,103.0,nan,-0.67,-8.0,1.22,6.7,-81.88,45.62,-3.51,0.37,-0.5,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25605652173913,nan,-99.59845180107526,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
599.0,28.0,31.0,88.0,139.0,76.0,nan,-0.41,-7.88,1.04,6.65,-81.92,45.61,-1.34,0.16,-0.5,-0.33,0.21,-0.62,0.68,1.0,28.22,26.27,0.0747175,0.0,19.25605652173913,nan,-99.59845180107526,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
619.0,17.0,27.0,124.0,138.0,116.0,nan,-0.49,-8.09,1.24,6.62,-81.9,45.62,0.34,-0.26,-0.15,-0.33,0.21,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.25605652173913,nan,-99.59845180107526,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
641.0,26.0,31.0,136.0,150.0,110.0,nan,-0.33,-7.82,1.05,6.57,-81.95,45.61,-1.9,0.16,-0.36,-0.33,0.21,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.25605652173913,nan,-99.59845180107526,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
664.0,26.0,30.0,77.0,138.0,125.0,nan,-0.42,-7.89,1.1,6.53,-81.91,45.62,1.67,-0.19,-0.08,-0.33,0.21,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256053695652174,nan,-99.59845129032259,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
686.0,30.0,30.0,68.0,156.0,111.0,nan,-0.44,-7.96,1.23,6.49,-81.9,45.62,0.48,-0.05,-0.08,-0.33,0.21,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256050869565218,nan,-99.59845077956989,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
706.0,27.0,31.0,77.0,138.0,112.0,nan,-0.56,-7.7,1.02,6.47,-81.89,45.62,0.69,0.09,0.13,-0.33,0.21,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256050869565218,nan,-99.59845077956989,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
725.0,19.0,21.0,82.0,154.0,104.0,nan,-0.61,-7.99,1.36,6.45,-81.82,45.63,2.79,-0.33,0.06,-0.33,0.21,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.25604804347826,nan,-99.59845026881722,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
749.0,17.0,30.0,98.0,138.0,75.0,nan,-0.57,-7.77,1.14,6.41,-81.85,45.62,0.48,0.09,-0.08,-0.33,0.21,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256045217391307,nan,-99.59844975806452,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
775.0,17.0,30.0,66.0,140.0,103.0,nan,-0.72,-8.01,1.29,6.4,-81.83,45.62,0.13,-0.05,-0.22,-0.33,0.21,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256042391304348,nan,-99.5984492473118,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
798.0,25.0,20.0,52.0,138.0,111.0,nan,-0.55,-7.8,1.02,6.36,-81.9,45.61,-2.95,0.23,-0.36,-0.33,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256039565217392,nan,-99.59844873655915,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
818.0,26.0,31.0,108.0,159.0,111.0,nan,-0.52,-7.96,1.16,6.33,-81.85,45.62,2.3,-0.26,-0.29,-0.33,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256036739130437,nan,-99.59844822580644,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
840.0,26.0,31.0,77.0,148.0,96.0,nan,-0.54,-8.0,1.21,6.3,-81.88,45.62,-1.48,0.09,-0.43,-0.33,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256036739130437,nan,-99.59844822580644,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
860.0,31.0,30.0,67.0,124.0,125.0,nan,-0.39,-7.79,1.05,6.26,-81.88,45.61,-0.08,0.02,-0.15,-0.33,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.25603391304348,nan,-99.59844771505378,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
883.0,19.0,30.0,108.0,139.0,110.0,nan,-0.65,-8.08,1.25,6.24,-81.84,45.62,1.95,-0.4,0.06,-0.33,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256031086956526,nan,-99.59844720430107,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
902.0,27.0,31.0,78.0,154.0,125.0,nan,-0.53,-7.8,1.13,6.21,-81.88,45.62,-2.25,0.23,-0.5,-0.33,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.25602826086957,nan,-99.59844669354838,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
925.0,26.0,31.0,87.0,138.0,112.0,nan,-0.51,-7.66,1.04,6.18,-81.86,45.62,1.04,-0.19,-0.36,-0.33,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256025434782607,nan,-99.5984461827957,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
945.0,25.0,31.0,119.0,134.0,110.0,nan,-0.46,-7.82,1.25,6.15,-81.84,45.62,0.62,-0.12,-0.08,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256022608695652,nan,-99.59844567204301,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
967.0,27.0,30.0,62.0,139.0,110.0,nan,-0.4,-8.0,1.3,6.07,-81.84,45.62,-0.22,0.02,-0.78,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256022608695652,nan,-99.59844567204301,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
994.0,25.0,30.0,67.0,138.0,110.0,nan,-0.41,-7.84,1.1,6.03,-81.88,45.62,-1.76,0.09,-0.78,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256019782608696,nan,-99.59844516129033,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1017.0,26.0,30.0,88.0,152.0,111.0,nan,-0.23,-7.82,1.19,5.98,-81.86,45.62,0.62,-0.12,-0.15,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.25601695652174,nan,-99.59844465053762,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1036.0,27.0,30.0,67.0,133.0,112.0,nan,-0.42,-8.06,1.31,5.94,-81.85,45.62,0.13,-0.05,-0.43,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256014130434785,nan,-99.59844413978496,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1059.0,31.0,31.0,112.0,136.0,111.0,nan,-0.19,-7.86,1.17,5.88,-81.9,45.61,-2.95,0.3,-0.92,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747183,0.0,19.256011304347822,nan,-99.59844362903225,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1079.0,18.0,30.0,67.0,137.0,111.0,nan,-0.13,-7.88,1.11,5.82,-81.9,45.61,0.06,-0.05,-0.57,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.256008478260867,nan,-99.59844311827956,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1104.0,37.0,26.0,88.0,137.0,111.0,nan,-0.14,-8.09,1.23,5.76,-81.9,45.61,-0.15,-0.05,-0.29,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.25600565217391,nan,-99.59844260752688,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1123.0,27.0,30.0,120.0,148.0,125.0,nan,-0.13,-8.05,1.09,5.7,-81.93,45.61,-1.2,0.16,-0.57,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.25600565217391,nan,-99.59844260752688,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
1146.0,31.0,29.0,93.0,137.0,112.0,nan,-0.21,-7.86,1.19,5.61,-81.89,45.61,1.67,-0.19,-0.08,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.256002826086956,nan,-99.59844209677419,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1172.0,26.0,30.0,77.0,140.0,111.0,nan,-0.41,-8.01,1.18,5.58,-81.87,45.61,0.62,0.02,0.13,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255994791666662,nan,-99.59844158602151,nan,0.0,0.0,9935.9072,1.0,0.0,2606.7,0.0
1195.0,18.0,30.0,67.0,139.0,112.0,nan,-0.37,-8.02,1.25,5.55,-81.86,45.61,0.27,-0.05,-0.15,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.25598958333333,nan,-99.59844107526882,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1215.0,31.0,28.0,135.0,135.0,111.0,nan,-0.46,-7.84,1.04,5.52,-81.88,45.61,-0.78,0.02,-0.22,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255984375,nan,-99.59844056451612,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1238.0,26.0,20.0,109.0,139.0,111.0,nan,-0.3,-7.92,1.29,5.49,-81.85,45.61,0.83,-0.05,-0.01,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255979166666666,nan,-99.59844005376344,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1257.0,26.0,30.0,78.0,133.0,111.0,nan,-0.47,-8.02,1.21,5.47,-81.86,45.61,-0.5,-0.12,-0.01,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255973958333335,nan,-99.59843954301076,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1280.0,26.0,27.0,147.0,133.0,110.0,nan,-0.2,-7.76,1.05,5.42,-81.9,45.61,-1.97,0.23,-0.29,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255973958333335,nan,-99.59843954301076,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
1300.0,21.0,30.0,77.0,160.0,111.0,nan,-0.38,-7.92,1.19,5.4,-81.85,45.61,2.44,-0.26,0.06,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255968749999997,nan,-99.59843903225807,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1322.0,26.0,31.0,67.0,139.0,110.0,nan,-0.28,-7.86,1.23,5.36,-81.88,45.61,-1.69,0.16,-0.29,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255963541666667,nan,-99.59843852150539,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1342.0,26.0,20.0,67.0,138.0,125.0,nan,-0.34,-7.8,1.01,5.32,-81.89,45.61,-0.29,0.16,-0.22,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255958333333332,nan,-99.5984380107527,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1365.0,27.0,26.0,89.0,153.0,111.0,nan,-0.42,-7.81,1.11,5.26,-81.88,45.61,-1.06,0.23,-0.43,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255953125,nan,-99.59843750000002,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1391.0,26.0,31.0,67.0,154.0,74.0,nan,-0.29,-7.8,1.11,5.23,-81.86,45.61,0.62,-0.05,-0.22,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.25594791666667,nan,-99.5984369892473,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1414.0,27.0,31.0,52.0,126.0,102.0,nan,-0.37,-7.98,1.3,5.19,-81.85,45.61,0.27,-0.12,-0.43,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255942708333333,nan,-99.59843647849465,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1434.0,25.0,30.0,68.0,126.0,116.0,nan,-0.14,-7.84,1.05,5.14,-81.9,45.6,-2.25,0.3,-0.43,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255942708333333,nan,-99.59843647849465,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
1456.0,26.0,30.0,108.0,139.0,111.0,nan,-0.1,-7.99,1.22,5.09,-81.87,45.6,1.18,-0.19,-0.36,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255937499999998,nan,-99.59843596774193,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1476.0,27.0,30.0,68.0,137.0,120.0,nan,-0.18,-8.06,1.16,5.05,-81.89,45.6,-0.99,0.16,-0.22,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255932291666667,nan,-99.59843545698925,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1499.0,19.0,30.0,78.0,138.0,97.0,nan,-0.08,-7.92,1.12,5.0,-81.89,45.6,0.06,0.09,-0.29,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255927083333336,nan,-99.59843494623657,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1518.0,27.0,30.0,88.0,154.0,125.0,nan,-0.23,-7.94,1.21,4.96,-81.84,45.6,2.16,-0.33,-0.08,-0.32,0.22,-0.62,0.68,1.0,28.21,26.27,0.0747242,0.0,19.255921875,nan,-99.59843443548388,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1541.0,22.0,30.0,68.0,125.0,111.0,nan,-0.33,-8.02,1.17,4.9,-81.82,45.6,0.62,-0.05,-0.08,-0.32,0.22,-0.62,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255916666666664,nan,-99.5984339247312,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1573.0,26.0,31.0,67.0,137.0,118.0,nan,-0.21,-7.89,1.3,4.86,-81.81,45.6,-0.22,-0.05,-0.36,-0.32,0.22,-0.62,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255911458333333,nan,-99.59843341397848,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1593.0,37.0,26.0,52.0,138.0,111.0,nan,-0.22,-7.91,1.1,4.82,-81.83,45.6,-0.78,0.23,-0.29,-0.32,0.22,-0.62,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255911458333333,nan,-99.59843341397848,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
1615.0,37.0,26.0,78.0,153.0,111.0,nan,-0.16,-7.89,1.28,4.78,-81.81,45.6,0.55,-0.12,-0.15,-0.32,0.22,-0.62,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255906250000002,nan,-99.59843290322583,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1635.0,26.0,31.0,67.0,154.0,111.0,nan,-0.32,-7.93,1.1,4.75,-81.83,45.6,-0.85,0.09,-0.29,-0.32,0.22,-0.62,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255901041666668,nan,-99.59843239247311,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1658.0,27.0,30.0,147.0,155.0,124.0,nan,-0.2,-7.82,1.06,4.71,-81.83,45.6,0.41,-0.05,-0.15,-0.32,0.22,-0.62,0.69,1.0,28.2,26.29,0.0747257,0.0,19.25589583333333,nan,-99.59843188172046,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1677.0,32.0,30.0,88.0,137.0,125.0,nan,-0.33,-7.97,1.34,4.68,-81.77,45.6,2.02,-0.33,-0.36,-0.32,0.22,-0.61,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255890625,nan,-99.59843137096775,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1700.0,26.0,30.0,51.0,159.0,111.0,nan,-0.21,-7.87,1.15,4.64,-81.8,45.6,-1.55,0.09,-0.36,-0.32,0.23,-0.61,0.69,1.0,28.2,26.29,0.0747257,0.0,19.25588541666667,nan,-99.59843086021505,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1719.0,26.0,30.0,108.0,139.0,125.0,nan,-0.08,-7.82,1.25,4.6,-81.78,45.61,0.69,-0.19,-0.29,-0.32,0.23,-0.61,0.69,1.0,28.2,26.29,0.0747257,0.0,19.25588541666667,nan,-99.59843086021505,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
1743.0,26.0,26.0,88.0,154.0,111.0,nan,-0.04,-7.86,1.18,4.5,-81.8,45.61,-1.62,0.09,-0.71,-0.32,0.23,-0.61,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255880208333334,nan,-99.59843034946238,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1769.0,26.0,30.0,67.0,165.0,125.0,nan,0.0,-7.92,1.14,4.45,-81.8,45.61,-0.01,-0.12,-0.5,-0.32,0.23,-0.61,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255874999999996,nan,-99.59842983870968,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1792.0,30.0,24.0,53.0,150.0,81.0,nan,-0.04,-7.83,1.16,4.4,-81.79,45.61,0.2,-0.26,-0.22,-0.32,0.23,-0.61,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255869791666672,nan,-99.598429327957,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1811.0,31.0,30.0,56.0,154.0,119.0,nan,-0.09,-8.04,1.17,4.35,-81.79,45.62,0.27,-0.33,-0.43,-0.32,0.23,-0.61,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255864583333334,nan,-99.59842881720431,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1834.0,27.0,27.0,157.0,162.0,124.0,nan,-0.14,-7.92,1.21,4.31,-81.78,45.62,0.2,-0.19,-0.43,-0.32,0.23,-0.61,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255859375,nan,-99.59842830645164,nan,0.0,0.0,9935.9072,0.0,0.0,2606.7,0.0
1853.0,27.0,31.0,139.0,163.0,111.0,nan,-0.03,-7.82,1.19,4.26,-81.76,45.63,0.48,-0.33,-0.5,-0.32,0.23,-0.61,0.69,1.0,28.2,26.29,0.0747257,0.0,19.255859375,nan,-99.59842830645164,nan,0.0,0.0,9935.9072,0.0,0.0,0.0,0.0
